index	initial_lddt	final_lddt	ideal_lddt
17480	tensor(0.5074)	tensor(0.5074)	tensor(0.6525)
17520	tensor(0.4150)	tensor(0.4150)	tensor(0.5435)
17560	tensor(0.4664)	tensor(0.4664)	tensor(0.5954)
17600	tensor(0.3963)	tensor(0.3963)	tensor(0.5535)
17640	tensor(0.4674)	tensor(0.4674)	tensor(0.5852)
17680	tensor(0.4830)	tensor(0.5124)	tensor(0.5980)
17720	tensor(0.3770)	tensor(0.3770)	tensor(0.5065)
17760	tensor(0.3732)	tensor(0.4560)	tensor(0.5178)
17800	tensor(0.3791)	tensor(0.3791)	tensor(0.4925)
17840	tensor(0.3705)	tensor(0.3705)	tensor(0.4909)
17880	tensor(0.3874)	tensor(0.3874)	tensor(0.5265)
17920	tensor(0.3420)	tensor(0.3420)	tensor(0.4504)
17960	tensor(0.4526)	tensor(0.5297)	tensor(0.5602)
18000	tensor(0.4618)	tensor(0.4618)	tensor(0.5727)
18040	tensor(0.4586)	tensor(0.4586)	tensor(0.5670)
18080	tensor(0.4417)	tensor(0.4923)	tensor(0.5671)
18120	tensor(0.4929)	tensor(0.4929)	tensor(0.6174)
18160	tensor(0.4498)	tensor(0.4498)	tensor(0.5539)
18200	tensor(0.2701)	tensor(0.2701)	tensor(0.3529)
18240	tensor(0.4204)	tensor(0.4204)	tensor(0.5545)
18280	tensor(0.4016)	tensor(0.4016)	tensor(0.5221)
18320	tensor(0.3908)	tensor(0.3908)	tensor(0.5197)
18360	tensor(0.3951)	tensor(0.4750)	tensor(0.5070)
18400	tensor(0.3885)	tensor(0.3885)	tensor(0.5298)
18440	tensor(0.4080)	tensor(0.4080)	tensor(0.5040)
18480	tensor(0.3805)	tensor(0.3805)	tensor(0.5226)
18520	tensor(0.3897)	tensor(0.3897)	tensor(0.5142)
18560	tensor(0.3635)	tensor(0.4310)	tensor(0.4749)
18600	tensor(0.4997)	tensor(0.4997)	tensor(0.5996)
18640	tensor(0.3423)	tensor(0.3423)	tensor(0.4835)
18680	tensor(0.3833)	tensor(0.3833)	tensor(0.5221)
18720	tensor(0.4186)	tensor(0.4186)	tensor(0.5565)
18760	tensor(0.4161)	tensor(0.4161)	tensor(0.5559)
18800	tensor(0.3865)	tensor(0.3865)	tensor(0.4877)
18840	tensor(0.4491)	tensor(0.4491)	tensor(0.5651)
18880	tensor(0.4017)	tensor(0.4017)	tensor(0.5182)
